epoch,loss,lr,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.879334211,0.001,0.361044437,1.742633224,0.412200004
1,1.538660884,0.001,0.478844434,1.475450516,0.519200027
2,1.410151005,0.001,0.536088884,1.254680037,0.592199981
3,1.327442765,0.001,0.572377801,1.371182919,0.582199991
4,1.274070024,0.001,0.594377756,1.607364416,0.529600024
5,1.235915542,0.001,0.616533339,1.30973208,0.595399976
6,1.208538413,0.001,0.630333304,1.21589005,0.634800017
7,1.184379458,0.001,0.645111084,2.019787312,0.476799995
8,1.167003512,0.001,0.656022251,1.197424173,0.654399991
9,1.153313756,0.001,0.663088918,1.13998282,0.674600005
10,1.140052199,0.001,0.673133314,1.127268672,0.685400009
11,1.117927432,0.001,0.68224442,1.416982532,0.609799981
12,1.105817914,0.001,0.688199997,1.050277829,0.702600002
13,1.099541306,0.001,0.693377793,1.054879904,0.712800026
14,1.088314295,0.001,0.700288892,1.118559718,0.686399996
15,1.081820965,0.001,0.70437777,1.041175246,0.712800026
16,1.07414794,0.001,0.708933353,1.200574756,0.672599971
17,1.069971561,0.001,0.711000025,1.045633793,0.723800004
18,1.055849314,0.001,0.715577781,0.999178708,0.735400021
19,1.053736687,0.001,0.718888879,1.148019195,0.685199976
20,1.049725175,0.001,0.719600022,1.101120353,0.702600002
21,1.038095832,0.001,0.725888908,1.460090637,0.628000021
22,1.032674789,0.001,0.729466677,1.196026325,0.680400014
23,1.037576675,0.001,0.725755572,1.092900753,0.710399985
24,0.974146366,0.0005,0.746311128,0.918421865,0.761600018
25,0.939956188,0.0005,0.755133331,0.853783667,0.783399999
26,0.921001494,0.0005,0.757866681,0.919357538,0.761399984
27,0.905017197,0.0005,0.763177752,0.872536242,0.769800007
28,0.903064311,0.0005,0.762266695,0.828386605,0.7852
29,0.8845855,0.0005,0.765333354,0.85511446,0.783599973
30,0.883351386,0.0005,0.765222251,0.808127463,0.785399973
31,0.876089215,0.0005,0.766622245,0.915116489,0.75059998
32,0.871585488,0.0005,0.767466664,0.792249024,0.794200003
33,0.869532228,0.0005,0.767422199,0.797745109,0.788800001
34,0.862999558,0.0005,0.770644426,0.803581119,0.794399977
35,0.85054636,0.0005,0.77255553,0.871196806,0.770399988
36,0.85343498,0.0005,0.770688891,0.810897768,0.783399999
37,0.851037323,0.0005,0.770755529,0.775701463,0.802399993
38,0.840100586,0.0005,0.777266681,0.785849214,0.794200003
39,0.841954708,0.0005,0.77597779,0.724459648,0.817399979
40,0.839682102,0.0005,0.777622223,0.750609934,0.8046
41,0.833522856,0.0005,0.776711106,0.843254983,0.771200001
42,0.838113368,0.0005,0.774866641,0.863432407,0.768999994
43,0.832168162,0.0005,0.777866662,0.788488567,0.796599984
44,0.835376382,0.0005,0.779111087,0.903830349,0.761399984
45,0.790991068,0.00025,0.791511118,0.736033618,0.808000028
46,0.779778183,0.00025,0.794844449,0.773340046,0.796400011
47,0.775581956,0.00025,0.794444442,0.731553137,0.807399988
48,0.769147813,0.00025,0.797511101,0.709582567,0.812600017
49,0.76090163,0.00025,0.796622217,0.769744813,0.799799979
50,0.757805407,0.00025,0.797022223,0.700626075,0.81099999
51,0.750431418,0.00025,0.797666669,0.754653811,0.800999999
52,0.744589925,0.00025,0.800111115,0.707166791,0.811200023
53,0.741266072,0.00025,0.800711095,0.74339211,0.801800013
54,0.745109558,0.00025,0.798355579,0.704834104,0.810599983
55,0.738012731,0.00025,0.801400006,0.711396456,0.805599988
56,0.720804393,0.000125,0.806422234,0.706946075,0.809199989
57,0.707250893,0.000125,0.809066653,0.702111065,0.809800029
58,0.707794428,0.000125,0.810644448,0.654764831,0.824599981
59,0.696899354,0.000125,0.8116889,0.658939004,0.824800014
